linha,nome,operadora,data_pesquisa,faixa_horaria,passageiros,partidas,passageiros_viagem,tempo_viagem_min
391,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,11,16,1,16.0,29
392,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,12,133,5,26.6,31
393,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,13,109,3,36.3,36
394,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,14,51,2,25.5,33
395,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,15,11,2,5.5,28
396,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,16,28,3,9.3,29
397,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,17,69,4,17.3,34
398,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,18,49,4,12.3,31
399,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,19,12,1,12.0,27
400,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,6,28,3,9.3,30
401,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,7,32,2,16.0,35
402,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,8,26,3,8.7,32
403,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,9,37,3,12.3,32
404,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,10,28,2,14.0,36
405,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,11,86,4,21.5,35
406,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,12,106,4,26.5,32
407,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,13,124,4,31.0,32
408,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,14,42,2,21.0,35
409,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,15,129,3,43.0,37
410,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,16,186,4,46.5,39
411,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,17,235,4,58.8,41
412,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,18,147,4,36.8,37
413,Linha 84 (Dist. Indust. II-Centro) PF1-PF2,,16/04/2013,16,65,2,32.5,0
414,Linha 84 (Dist. Indust. II-Centro) PF2-PF1,,16/04/2013,6,57,1,57.0,39
415,Linha 96 (Tibiriçá-Centro) PF1-PF2,,4/04/2013,7,29,1,29.0,39
416,Linha 96 (Tibiriçá-Centro) PF1-PF2,,4/04/2013,9,13,1,13.0,35
417,Linha 96 (Tibiriçá-Centro) PF1-PF2,,4/04/2013,11,18,1,18.0,40
418,Linha 96 (Tibiriçá-Centro) PF1-PF2,,4/04/2013,13,15,1,15.0,39
419,Linha 96 (Tibiriçá-Centro) PF1-PF2,,4/04/2013,15,5,1,5.0,31
420,Linha 96 (Tibiriçá-Centro) PF1-PF2,,4/04/2013,16,7,1,7.0,34
421,Linha 96 (Tibiriçá-Centro) PF1-PF2,,4/04/2013,17,10,1,10.0,39
422,Linha 96 (Tibiriçá-Centro) PF2-PF1,,4/04/2013,6,23,1,23.0,57
423,Linha 96 (Tibiriçá-Centro) PF2-PF1,,4/04/2013,8,9,1,9.0,40
424,Linha 96 (Tibiriçá-Centro) PF2-PF1,,4/04/2013,10,8,1,8.0,39
425,Linha 96 (Tibiriçá-Centro) PF2-PF1,,4/04/2013,11,29,1,29.0,47
426,Linha 96 (Tibiriçá-Centro) PF2-PF1,,4/04/2013,13,21,1,21.0,44
427,Linha 96 (Tibiriçá-Centro) PF2-PF1,,4/04/2013,15,40,1,40.0,63
428,Linha 96 (Tibiriçá-Centro) PF2-PF1,,4/04/2013,16,48,1,48.0,48
429,Linha 96 (Tibiriçá-Centro) PF2-PF1,,4/04/2013,17,26,1,26.0,44
430,Linha 96 (Tibiriçá-Centro) PF2-PF1,,4/04/2013,18,56,2,28.0,57
431,Linha 96A (Prolongado até o Bairro Reunidos de Sta. Maria) PF2-PF1,,,,6,23,1,23.0,57
432,Linha 96A (Prolongado até o Bairro Reunidos de Sta. Maria) PF2-PF1,,,,15,40,1,40.0,63
433,Linha 96A (Prolongado até o Bairro Reunidos de Sta. Maria) PF2-PF1,,,,18,16,1,16.0,53
434,Linha 97 (Bauru Especial) Circular,Operação Pool,9/04/2013,6,86,1,86.0,122
435,Linha 97 (Bauru Especial) Circular,Operação Pool,9/04/2013,7,89,2,44.5,123
436,Linha 97 (Bauru Especial) Circular,Operação Pool,9/04/2013,8,21,1,21.0,105
437,Linha 97 (Bauru Especial) Circular,Operação Pool,9/04/2013,9,24,1,24.0,114
438,Linha 97 (Bauru Especial) Circular,Operação Pool,9/04/2013,10,62,2,31.0,117
439,Linha 97 (Bauru Especial) Circular,Operação Pool,9/04/2013,11,78,1,78.0,128
440,Linha 97 (Bauru Especial) Circular,Operação Pool,9/04/2013,12,65,1,65.0,123
441,Linha 97 (Bauru Especial) Circular,Operação Pool,9/04/2013,13,64,2,32.0,125
442,Linha 97 (Bauru Especial) Circular,Operação Pool,9/04/2013,14,38,1,38.0,128
443,Linha 97 (Bauru Especial) Circular,Operação Pool,9/04/2013,15,84,2,42.0,128
444,Linha 97 (Bauru Especial) Circular,Operação Pool,9/04/2013,16,63,1,63.0,133
445,Linha 97 (Bauru Especial) Circular,Operação Pool,9/04/2013,17,59,1,59.0,128
446,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,5,23,1,23.0,42
447,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,6,141,2,70.5,51
448,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,7,71,2,35.5,47
449,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,8,13,1,13.0,45
450,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,9,16,1,16.0,43
451,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,10,18,1,18.0,42
452,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,11,57,2,28.5,45
453,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,12,34,1,34.0,50
454,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,13,45,2,22.5,40
455,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,14,25,1,25.0,38
456,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,15,76,2,38.0,38
457,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,16,15,2,7.5,41
458,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,17,58,2,29.0,46
459,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,18,25,1,25.0,37
460,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF1-PF2,,4/04/2013,19,35,1,35.0,38
461,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF2-PF1,,4/04/2013,6,64,2,32.0,36
462,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF2-PF1,,4/04/2013,7,214,4,53.5,43
463,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF2-PF1,,4/04/2013,8,103,5,20.6,38
464,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF2-PF1,,4/04/2013,13,55,1,55.0,49
465,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF2-PF1,,4/04/2013,16,82,3,27.3,44
466,Linha 98 (Stª Terezinha/Inst. Lauro S. Lima/UNIMED-Centro) PF2-PF1,,4/04/2013,17,55,1,55.0,46
467,Linha 98A (Via Pq. Manchester) PF2-PF1,,,,12,35,1,35.0,46
468,Linha 98A (Via Pq. Manchester) PF2-PF1,,,,15,15,1,15.0,47
469,Linha 98A (Via Pq. Manchester) PF2-PF1,,,,16,32,1,32.0,40
470,Linha 98A (Via Pq. Manchester) PF2-PF1,,,,18,26,1,26.0,45
471,Linha 98B (Via Pq. Manchester e Prolongamento até o Vale do Igapó) PF2-PF1,,,,20,20,1,20.0,39
472,Linha 98C (Prolongamento até o Vale do Igapó) PF1-PF2,,,,19,35,1,35.0,38
473,Linha 98C (Prolongamento até o Vale do Igapó) PF2-PF1,,,,12,49,1,49.0,41
474,Linha 98C (Prolongamento até o Vale do Igapó) PF2-PF1,,,,18,2,1,2.0,52
475,Linha 98D (Prolongamento até o Distrito Industrial II) PF1-PF2,,,,16,15,2,7.5,41
476,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,5,18,1,18.0,31
477,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,6,92,2,46.0,38
478,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,7,131,3,43.7,37
479,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,8,64,3,21.3,37
480,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,9,25,1,25.0,34
481,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,10,40,2,20.0,38
482,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,11,21,1,21.0,35
483,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,12,73,2,36.5,37
484,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,13,45,1,45.0,42
485,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,14,16,1,16.0,35
486,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,15,34,1,34.0,38
487,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,16,64,3,21.3,37
488,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,17,75,2,37.5,28
489,Linha 10.7 (Nova Esperança/CAIC-Pq. Vista Alegre) PF1-PF2,Grande Bauru,4/04/2013,18,88,4,22.0,35
490,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,6,92,2,46.0,43
491,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,7,23,1,23.0,43
492,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,8,17,1,17.0,39
493,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,9,15,2,7.5,42
494,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,10,14,1,14.0,38
495,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,11,17,1,17.0,41
496,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,12,48,2,24.0,46
497,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,13,25,1,25.0,45
498,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,14,19,1,19.0,47
499,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,15,48,2,24.0,47
500,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,16,5,1,5.0,41
501,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,17,17,1,17.0,51
502,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,18,20,2,10.0,43
503,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,19,10,1,10.0,47
504,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,21,7,1,7.0,37
505,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF1-PF2,Grande Bauru,4/04/2013,22,7,1,7.0,36
506,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,6,34,2,17.0,30
507,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,7,12,1,12.0,27
508,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,8,8,1,8.0,34
509,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,9,16,2,8.0,33
510,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,10,15,1,15.0,31
511,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,11,17,1,17.0,39
512,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,12,34,2,17.0,35
513,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,13,33,1,33.0,40
514,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,14,14,1,14.0,34
515,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,15,39,2,19.5,36
516,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,16,24,1,24.0,34
517,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,17,50,1,50.0,38
518,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,18,32,1,32.0,35
519,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,19,10,1,10.0,31
520,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,20,14,1,14.0,32
521,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,21,7,1,7.0,28
522,Linha 25.4 (Falcão/IBC/Bauru H-Cardia/Guadalajara) PF2-PF1,Grande Bauru,4/04/2013,23,2,1,2.0,22
523,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,5,90,3,30.0,46
524,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,6,116,2,58.0,38
525,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,7,100,2,50.0,37
526,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,8,114,3,38.0,34
527,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,9,33,2,16.5,33
528,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,10,25,1,25.0,57
529,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,11,60,2,30.0,35
530,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,12,74,2,37.0,39
531,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,13,60,2,30.0,38
532,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,14,18,1,18.0,36
533,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,15,53,2,26.5,39
534,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,16,38,2,19.0,36
535,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,17,81,2,40.5,39
536,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,18,32,2,16.0,25
537,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,19,27,2,13.5,39
538,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,20,10,1,10.0,41
539,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,21,43,2,21.5,58
540,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF1-PF2,Grande Bauru,3/04/2013,23,8,2,4.0,29
541,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,5,9,1,9.0,30
542,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,6,81,3,27.0,37
543,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,7,45,3,15.0,40
544,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,8,21,1,21.0,35
545,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,9,31,2,15.5,35
546,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,10,14,1,14.0,36
547,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,11,43,2,21.5,40
548,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,12,60,2,30.0,39
549,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,13,89,2,44.5,46
550,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,14,49,1,49.0,45
551,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,15,112,3,37.3,43
552,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,16,99,2,49.5,45
553,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,17,159,3,53.0,42
554,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,18,99,2,49.5,43
555,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,19,41,2,20.5,40
556,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,20,25,1,25.0,42
557,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,21,24,1,24.0,38
558,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,22,32,2,16.0,34
559,Linha 43.6 (Vl. Garcia/Jd. TV-Vl. Maria/Independência) PF2-PF1,Grande Bauru,3/04/2013,23,13,1,13.0,31
560,Linha 5.18 (Dutra/Marilú/Stª Cândida-Shopping) PF1-PF2,Baurutrans,10/04/2013,5,43,1,43.0,38
